date,all_vac,new_vac
2021/6/21,31592030,0
2021/6/22,32922292,1330262
2021/6/23,34389735,1467443
2021/6/24,35788723,1398988
2021/6/25,37214200,1425477
2021/6/28,40177951,2963751
2021/6/29,41836154,1658203
2021/6/30,43504931,1668777
2021/7/1,44910572,1405641
2021/7/2,46248972,1338400
2021/7/5,49122947,2873975
2021/7/6,50870963,1748016
2021/7/7,52643860,1772897
2021/7/8,54847156,2203296
2021/7/9,57350224,2503068
2021/7/12,60257292,2907068
2021/7/13,61994374,1737082
2021/7/14,63651899,1657525
2021/7/15,65180178,1528279
2021/7/16,66714528,1534350
2021/7/19,70051205,3336677
2021/7/20,71921254,1870049
2021/7/21,73970888,2049634
2021/7/26,77726929,3756041
2021/7/27,79383659,1656730
2021/7/28,81020134,1636475
2021/7/29,82593468,1573334
2021/7/30,84009438,1415970
2021/8/2,87381662,3372224
2021/8/3,89111989,1730327
2021/8/4,96854171,7742182
2021/8/5,98284206,1430035
2021/8/6,99651092,1366886
2021/8/10,102913015,3261923
2021/8/11,105680550,2767535
2021/8/12,107081571,1401021
2021/8/13,108179498,1097927
2021/8/16,109911890,1732392
2021/8/17,111050989,1139099
2021/8/18,113351510,2300521
2021/8/19,114664353,1312843
2021/8/20,115739998,1075645
2021/8/23,118310106,2570108
2021/8/24,119818884,1508778
2021/8/25,122223024,2404140
2021/8/26,123412140,1189116
2021/8/27,124534483,1122343
2021/8/30,127420574,2886091
2021/8/31,128759863,1339289
2021/9/1,130900617,2140754
2021/9/2,132033831,1133214
2021/9/3,133058203,1024372
2021/9/6,135685318,2627115
2021/9/7,137223122,1537804
2021/9/8,139093325,1870203
2021/9/9,140295783,1202458
2021/9/10,141432726,1136943
2021/9/13,144312589,2879863
2021/9/14,145790344,1477755
2021/9/15,147586692,1796348
2021/9/16,148775011,1188319
2021/9/17,149882538,1107527
2021/9/21,153118707,3236169
2021/9/22,154971886,1853179
2021/9/24,156559895,1588009
2021/9/27,159494782,2934887
2021/9/28,161057159,1562377
2021/9/29,162577384,1520225
2021/9/30,163738220,1160836
2021/10/1,164859014,1120794
2021/10/4,167449378,2590364
2021/10/5,168762404,1313026
2021/10/6,170282269,1519865
2021/10/7,171193251,910982
2021/10/8,172127058,933807
2021/10/11,174631850,2504792
2021/10/12,175700765,1068915
2021/10/13,176881164,1180399
2021/10/14,177622120,740956
2021/10/15,178255509,633389
2021/10/18,180219121,1963612
2021/10/19,180976061,756940
2021/10/20,182079899,1103838
2021/10/21,182719236,639337
2021/10/22,183344047,624811
2021/10/25,185079015,1734968
2021/10/26,185979201,900186
2021/10/27,186742406,763205
2021/10/28,187269535,527129
2021/10/29,187865740,596205
2021/11/1,189319619,1453879
2021/11/2,190022071,702452
2021/11/4,190595761,573690
2021/11/5,191044946,449185
2021/11/8,192078918,1033972
2021/11/9,192610138,531220
2021/11/10,193095269,485131
2021/11/11,193413413,318144
2021/11/12,193681996,268583
2021/11/15,194370766,688770
2021/11/16,194828997,458231
2021/11/17,195111912,282915
2021/11/18,195322820,210908
2021/11/19,195490201,167381
2021/11/22,196026726,536525
2021/11/24,196319563,292837
2021/11/25,196440455,120892
2021/11/26,196576395,135940
2021/11/29,196915615,339220
2021/11/30,197101669,186054
2021/12/1,197266161,164492
2021/12/2,197329920,63759
2021/12/3,197423151,93231
2021/12/6,197620701,197550
2021/12/7,197762698,141997
2021/12/8,197878243,115545
2021/12/9,197938660,60417
2021/12/10,198014376,75716
2021/12/13,198171413,157037
2021/12/14,198248857,77444
2021/12/15,198348812,99955
2021/12/16,198419971,71159
2021/12/17,198497730,77759
2021/12/20,198702092,204362
2021/12/21,198810017,107925
2021/12/22,198923765,113748
2021/12/23,199030483,106718
2021/12/24,199120144,89661
2021/12/27,199340742,220598
2021/12/28,199596362,255620
2022/1/4,200869488,1273126
2022/1/5,200990656,121168
2022/1/6,201082885,92229
2022/1/7,201168165,85280
2022/1/11,201412837,244672
2022/1/12,201558997,146160
2022/1/13,201662805,103808
2022/1/14,201786647,123842
2022/1/17,202119019,332372
2022/1/18,202280089,161070
2022/1/19,202465017,184928
2022/1/20,202658652,193635
2022/1/21,202865566,206914
2022/1/24,203348494,482928
2022/1/25,203642290,293796
2022/1/26,203935306,293016
2022/1/27,204228909,293603
2022/1/28,204528007,299098
2022/1/31,205281735,753728
2022/2/1,205744165,462430
2022/2/2,206186276,442111
2022/2/3,206751128,564852
2022/2/4,207319162,568034
2022/2/7,208782536,1463374
2022/2/8,209653907,871371
2022/2/9,210542246,888339
2022/2/10,211401896,859650
2022/2/14,213438155,2036259
2022/2/15,214571982,1133827
2022/2/16,215649628,1077646
2022/2/17,216665733,1016105
2022/2/18,217642958,977225
2022/2/21,219899127,2256169
2022/2/22,221140518,1241391
2022/2/24,222692743,1552225
2022/2/25,223820819,1128076
2022/2/28,226386565,2565746
2022/3/1,227761986,1375421
2022/3/2,229012762,1250776
2022/3/3,230096985,1084223
2022/3/4,231122195,1025210
2022/3/7,233632708,2510513
2022/3/8,234925595,1292887
2022/3/9,236103982,1178387
2022/3/10,237089041,985059
2022/3/11,238050214,961173
2022/3/14,240441450,2391236
2022/3/15,241689774,1248324
2022/3/16,242927963,1238189
2022/3/17,243836391,908428
2022/3/18,244711875,875484
2022/3/22,247132594,2420719
2022/3/23,248489469,1356875
2022/3/24,249408158,918689
2022/3/25,250187988,779830
2022/3/28,252334857,2146869
2022/3/29,253413125,1078268
2022/3/30,254345587,932462
2022/3/31,255078607,733020
2022/4/1,255719551,640944
2022/4/4,257174024,1454473
2022/4/5,257895945,721921
2022/4/6,258708855,812910
2022/4/7,259218522,509667
2022/4/8,259734137,515615
2022/4/11,261275956,1541819
2022/4/12,261994781,718825
2022/4/13,262639273,644492
2022/4/14,263124831,485558
2022/4/15,263596741,471910
2022/4/18,265117925,1521184
2022/4/19,265801716,683791
2022/4/20,266461584,659868
2022/4/21,266889958,428374
2022/4/22,267390282,500324
2022/4/25,268822890,1432608
2022/4/26,269554770,731880
2022/4/27,270206587,651817
2022/4/28,270695768,489181
2022/5/2,272000746,1304978
2022/5/6,272738717,737971
2022/5/9,273802981,1064264
2022/5/10,274249764,446783
2022/5/11,274589263,339499
2022/5/12,274922998,333735
2022/5/13,275201140,278142
2022/5/16,276157698,956558
2022/5/17,276734893,577195
2022/5/18,277046731,311838
2022/5/19,277294090,247359
2022/5/20,277526349,232259
2022/5/23,278300970,774621
2022/5/24,278763261,462291
2022/5/25,279032756,269495
2022/5/26,279218860,186104
2022/5/27,279402397,183537